id,nome,eta,nato_il,nazionalita
63371,Malen,27,19/01/1999,Olanda
120635,Zeballos,24,24/04/2002,Argentina
70991,Esposito,24,02/07/2002,Italia
109711,Raimondo,22,18/03/2004,Italia
63275,Thuram,29,06/08/1997,Francia
71896,Adams,30,13/07/1996,Scozia
116477,Kvernadze,23,07/02/2003,Georgia
118085,Esposito,21,28/06/2005,Italia
111438,Soule,23,15/04/2003,Argentina
118419,Diao,21,07/09/2005,Senegal
118290,Douvikas,27,02/08/1999,Grecia
67777,Lautaro Martinez,29,22/08/1997,Argentina
119548,Gustavo Varela,21,30/01/2005,Portogallo
35059,Berardi,32,01/08/1994,Italia
120541,Robinson,19,15/03/2007,Inghilterra
102774,Hojlund,23,04/02/2003,Danimarca
95132,Gonzalez,28,06/04/1998,Argentina
119848,Pellegrino,25,22/10/2001,Argentina
37689,Dybala,33,15/11/1993,Argentina
111489,Bonny,23,25/10/2003,
66162,Raspadori,26,18/02/2000,Italia
96400,Goncalo Ramos,25,20/06/2001,Portogallo
120550,Romero,23,25/03/2003,Argentina
120334,Mendy,19,13/01/2007,Senegal
61870,Scamacca,27,01/01/1999,Italia
118401,Gueye,20,16/09/2006,Senegal
119040,Noslin,27,07/07/1999,Olanda
120319,Bowie,24,21/09/2002,Scozia
53582,Dovbyk,29,21/06/1997,Ucraina
102086,Yeboah,26,23/06/2000,Ecuador
102766,Cancellieri,24,12/02/2002,Italia
118061,Adams,26,29/01/2000,Nigeria
95769,Krstovic,26,05/04/2000,Montenegro
66238,Osmajic,27,25/07/1999,Montenegro
120544,Lontani,18,18/01/2008,Italia
111387,Beto,28,31/01/1998,
118054,Yildiz,21,04/05/2005,Turchia
120643,Sugamele,19,22/02/2007,Italia
61229,Kean,26,28/02/2000,Italia
70458,Piccoli,25,27/01/2001,Italia
98442,Bobcek,25,08/09/2001,Slovacchia
46806,Boga,29,03/01/1997,
118899,Ghedjemis,24,06/09/2002,Algeria
95435,Lauriente,28,04/12/1998,Francia
58086,Davis,28,13/02/1998,Inghilterra
66187,Lang,27,17/06/1999,Olanda
116509,Fini,20,02/06/2006,Italia
95331,Kolo Muani,28,05/12/1998,Francia
95519,De Ketelaere,25,10/03/2001,Belgio
100862,Dany Mota,28,02/05/1998,Portogallo
103090,Frigan,23,11/02/2003,Croazia
103168,Vitinha,26,15/03/2000,Portogallo
111827,Rowe,23,30/04/2003,Inghilterra
112727,Bîrligea,26,19/04/2000,Romania
114004,Albion Rrahmani,26,31/08/2000,Kosovo
118464,Forson,22,20/07/2004,Inghilterra
51306,Cutrone,28,03/01/1998,Italia
95276,Geubbels,25,16/08/2001,Francia
110216,Lucca,26,10/09/2000,Italia
95422,Toure,25,03/10/2001,Mali
97629,Stulic,25,08/09/2001,Serbia
102693,Almqvist,27,10/07/1999,Svezia
119063,Njie,21,14/05/2005,Svezia
120447,Alajbegovic,19,21/09/2007,
68893,Bayo,29,10/01/1997,
113898,Gnonto,23,05/11/2003,Italia
119094,Castro,22,18/09/2004,Argentina
119895,Jesus Rodriguez,21,21/11/2005,Spagna
61894,David Neres,29,03/03/1997,Brasile
59346,Pinamonti,27,19/05/1999,Italia
119842,N’Dri,26,27/10/2000,Niger
60802,Simeone,31,05/07/1995,Argentina
102053,Cambiaghi,26,28/12/2000,Italia
102065,Felici,25,17/04/2001,Italia
117113,Ousmane Diallo,19,12/06/2007,Spagna
119760,Dominguez,23,19/09/2003,Argentina
120522,Lauberbach,28,15/02/1998,Germania
120536,Paco Esteban,20,02/05/2006,Spagna
120610,Fatah,22,19/02/2004,Svezia
95108,Woltemade,24,14/02/2002,Germania
95480,Aboukhlal,26,18/02/2000,Marocco
95684,Isaksen,25,19/04/2001,Danimarca
103519,Kevin Carlos,25,10/04/2001,Spagna
120320,Elphege,25,09/01/2001,Francia
67887,Kulenovic,27,04/12/1999,Croazia
95165,Colombo,24,08/03/2002,Italia
114932,El Azzouzi,25,29/05/2001,Marocco
115299,Enem,23,11/03/2003,Olanda
118749,Camarda,18,10/03/2008,Italia
120549,Žulevic,19,14/09/2007,Slovacchia
120553,Kulla,18,20/02/2008,Albania
120653,Oboavwoduo,20,23/08/2006,Inghilterra
43622,Zapata,35,01/04/1991,Colombia
113444,Moreira,22,06/08/2004,Belgio
96934,Zhegrova,27,31/03/1999,Kosovo
61532,Frattesi,27,22/09/1999,Italia
120530,Mastantuono,19,14/08/2007,Argentina
42724,Calhanoglu,32,08/02/1994,Turchia
116597,Pisilli,22,23/09/2004,Italia
117416,Adzic,20,12/05/2006,Montenegro
120111,Gorter,21,31/01/2005,Olanda
73082,Maldini,25,11/10/2001,Italia
95265,Coulibaly,30,10/04/1996,Mali
103455,Baturina,23,16/02/2003,Croazia
66186,Ekkelenkamp,26,05/04/2000,Olanda
116519,Cisse,20,22/10/2006,Italia
45456,Barella,29,07/02/1997,Italia
19157,De Bruyne,35,28/06/1991,Belgio
38482,Zielinski,32,20/05/1994,Polonia
119818,Romano,20,17/06/2006,Svizzera
38053,Rabiot,31,03/04/1995,Francia
109651,Diouf,23,17/05/2003,Francia
111808,Vergara,23,16/01/2003,Italia
116105,Paz,22,08/09/2004,Argentina
44090,Lobotka,32,25/11/1994,Slovacchia
61700,Gudmundsson,29,15/06/1997,Islanda
120558,Rodrigo Mora,19,05/05/2007,Portogallo
49183,Mandragora,29,29/06/1997,Italia
68771,Koopmeiners,28,28/02/1998,Olanda
112712,Ederson,27,07/07/1999,Brasile
115181,Hainaut,24,18/02/2002,Francia
95081,Samardzic,24,24/02/2002,Serbia
111630,Volpato,23,15/11/2003,Australia
95556,Karlstrom,31,21/06/1995,Svezia
53448,Pulisic,28,18/09/1998,Stati Uniti
66512,Colpani,27,11/05/1999,Italia
68546,Piotrowski,29,04/10/1997,Polonia
69844,Chukwueze,27,22/05/1999,Nigeria
40864,Politano,33,03/08/1993,Italia
66457,Adopo,26,19/07/2000,Francia
104526,Francisco Conceicao,24,14/12/2002,Portogallo
43177,Zaccagni,31,16/06/1995,Italia
58637,Calo,29,05/02/1997,Italia
94684,Luis Milla,32,07/10/1994,Spagna
100764,Ilic,25,17/03/2001,Serbia
