squadra,squadra_n,pg,v,n,p,gf,gs,diff_reti,punti,gs_partita
Inter,inter,38,27,6,5,89,35,54,87,0.92
Napoli,napoli,38,23,7,8,58,36,22,76,0.95
Roma,roma,38,23,4,11,59,31,28,73,0.82
Como,como,38,20,11,7,65,29,36,71,0.76
Milan,milan,38,20,10,8,53,35,18,70,0.92
Juventus,juventus,38,19,12,7,61,34,27,69,0.89
Atalanta,atalanta,38,15,14,9,51,36,15,59,0.95
Bologna,bologna,38,16,8,14,49,46,3,56,1.21
Lazio,lazio,38,14,12,12,41,40,1,54,1.05
Udinese,udinese,38,14,8,16,45,48,-3,50,1.26
Sassuolo,sassuolo,38,14,7,17,46,50,-4,49,1.32
Torino,torino,38,12,9,17,44,63,-19,45,1.66
Parma,parma,38,11,12,15,28,46,-18,45,1.21
Cagliari,cagliari,38,11,10,17,40,53,-13,43,1.39
Fiorentina,fiorentina,38,9,15,14,41,50,-9,42,1.32
Genoa,genoa,38,10,11,17,41,51,-10,41,1.34
Lecce,lecce,38,10,8,20,28,50,-22,38,1.32
Cremonese,cremonese,38,8,10,20,32,57,-25,34,1.5
Verona,verona,38,3,12,23,25,61,-36,21,1.61
Pisa,pisa,38,2,12,24,26,71,-45,18,1.87
