id,nome,ruolo,squadra,mv,presenze,fm,gol,assist,rig_segnati,rig_sbagliati,gol_subiti,rig_parati,ammonizioni,espulsioni,giornata,giornate_giocate,stagione,chiave,squadra_prev,mv_prev,fm_prev,presenze_prev,gol_prev,assist_prev,rig_segnati_prev,rig_sbagliati_prev,gol_subiti_prev,rig_parati_prev,ammonizioni_prev,espulsioni_prev,cambiato_squadra,delta_fm,da_titolare,subentrato,sostituito,pct_titolare,squadra_n,modulo,titolare_prob,titolare,titolare_fonte,rigorista,piazzati,indisponibile,infortunio,rientro_data,rientro_nota,giorni_stop,stop_lungo,gs_squadra,pg_squadra,gs_partita_squadra,gs_squadra_prev,pg_squadra_prev,gs_partita_squadra_prev,eta,nato_il,nome_completo,soprannome,obiettivo,fm_ponderata,bonus,punteggio,fascia,prezzo_indicativo
59898,Bijlow,P,Genoa,6.12,4,4.12,0,0,0,0,0,0,0,0,5,4,2026-2027,bijlow,Genoa,6.28,5.31,16.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,-1.19,4,0,0,1.0,genoa,2-4-1,1,1,probabili formazioni,0,0,,,,,,,8,4,2.0,51.0,38.0,1.34,28,22/01/1998,,,,4.8,0.7,5.5,Scommessa,1-3
98983,Butez,P,Como,6.33,3,5.33,0,0,0,0,0,0,0,0,5,4,2026-2027,butez,Como 1907,6.45,6.24,38.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0,-0.91,3,0,0,0.75,como,,0,1,stima da presenze,0,0,,,,,,,4,4,1.0,29.0,38.0,0.76,31,08/06/1995,,,,6.07,0.5,6.57,Medio,4-11
69665,Caprile,P,Cagliari,6.75,4,6.75,0,0,0,0,0,0,0,0,5,4,2026-2027,caprile,Cagliari,6.21,5.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0,1.75,4,0,0,1.0,cagliari,2-6-1,1,1,probabili formazioni,0,0,,,,,,,2,4,0.5,53.0,38.0,1.39,25,25/08/2001,,,,5.42,0.7,6.12,Scommessa,1-3
70334,Carnesecchi,P,Atalanta,6.75,4,5.75,0,0,0,0,0,0,0,0,5,4,2026-2027,carnesecchi,Atalanta,6.36,5.93,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.18,4,0,0,1.0,atalanta,4-3-2,1,1,probabili formazioni,0,0,,,,,,,5,4,1.25,36.0,38.0,0.95,26,01/07/2000,,,,5.89,0.7,6.59,Medio,4-11
73141,Corvi,P,Parma,6.12,4,4.62,0,0,0,0,0,0,0,0,5,4,2026-2027,corvi,Parma,6.28,5.69,17.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,-1.07,4,0,0,1.0,parma,4-2-2,1,1,probabili formazioni,0,0,,,,,,,6,4,1.5,46.0,38.0,1.21,25,23/03/2001,,,,5.25,0.7,5.95,Scommessa,1-3
16631,David de Gea,P,Fiorentina,6.0,4,3.25,0,0,0,0,0,0,0,0,5,4,2026-2027,daviddegea,Fiorentina,6.3,5.32,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-2.07,4,0,0,1.0,fiorentina,4-4-0,1,1,probabili formazioni,0,0,,,,,,,11,4,2.75,50.0,38.0,1.32,36,07/11/1990,,,,4.81,0.2,5.01,Scommessa,1-3
38409,Falcone,P,Lecce,6.62,4,5.0,0,0,0,0,0,0,1,0,5,4,2026-2027,falcone,Lecce,6.14,5.22,38.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0,-0.22,4,0,0,1.0,lecce,4-3-1,1,1,probabili formazioni,0,0,,,,,,,7,4,1.75,50.0,38.0,1.32,31,12/04/1995,,,,5.17,0.5,5.67,Scommessa,1-3
95090,Josep Martinez,P,Inter,6.62,4,5.38,0,0,0,0,0,0,0,0,5,4,2026-2027,josepmartinez,Inter,6.42,6.25,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.87,4,0,0,1.0,inter,4-3-2,1,1,probabili formazioni,0,0,,,,,,,6,4,1.5,35.0,38.0,0.92,28,27/05/1998,,,,5.64,0.7,6.34,Medio,4-11
118370,Lucas Perri,P,Torino,6.25,2,4.75,0,0,0,0,0,0,0,0,5,4,2026-2027,lucasperri,,,,,,,,,,,,,0,,2,0,0,0.5,torino,,0,0,,0,0,,,,,,,7,4,1.75,63.0,38.0,1.66,29,10/12/1997,,,,4.75,0.2,4.95,Scommessa,1-3
42646,Maignan,P,Milan,6.25,4,5.5,0,0,0,0,0,0,0,0,5,4,2026-2027,maignan,Milan,6.42,5.96,37.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0,-0.46,4,0,0,1.0,milan,3-5-1,1,1,probabili formazioni,0,0,,,,,,,4,4,1.0,35.0,38.0,0.92,31,03/07/1995,,,,5.85,0.5,6.35,Medio,4-11
