squadra,nome,chiave,ruolo,tipo,infortunio,rientro_data,rientro_nota,fonti
Atalanta,Hien I.,hien,D,infortunato,Problemi alla coscia,30/09/2026,"il difensore operato a fine giugno per una lesione del tendine prossimale del muscolo semimembranoso della coscia sinistra, in recupero e pronto a tornare in campo dalla metà di ottobre.",fanta.soccer+transfermarkt+fantacalcio.it
Atalanta,Sulemana K.,sulemana,A,infortunato,Infortunio al legamento collaterale mediale,01/10/2026,"L'attaccante KO in amichevole l'8 agosto vittima di una lesione del collaterale mediale di secondo grado del ginocchio sinistro, recuperabile da inizio ottobre.",fanta.soccer+transfermarkt+fantacalcio.it
Bologna,Zortea N.,zortea,D,infortunato,Contusione all'anca,18/09/2026,Il terzino alle prese con un fastidio all'anca e assente domenica scorsa contro il Napoli al Maradona. Da valutare in vista di sabato contro il Toro al Dall'Ara nella 5a giornata.,fanta.soccer+transfermarkt+fantacalcio.it
Bologna,Orsolini R.,orsolini,C,infortunato,Infortunio alla coscia,23/09/2026,"l'ala offensiva dei felsinei fermo dal 31 agosto per un risentimento ai flessori della coscia sinistra lamentato a Bergamo. Recuperabile dalla seconda metà di settembre, proverà a strappare una convocazione in extremis già per sabato contro il Toro.",fanta.soccer+transfermarkt+fantacalcio.it
Bologna,Dovbyk A.,dovbyk,A,infortunato,Problema muscolare,18/09/2026,"L'attaccante non al meglio per noie muscolari al flessore, assente domenica scorsa a Napoli. Da valutare in settimana verso il match di sabato contro il Torino nella 5a giornata di campionato.",fanta.soccer+transfermarkt+fantacalcio.it
Bologna,El Azzouzi O.,elazzouzi,A,infortunato,,,"Il centrocampista ai box per una lesione del bicipite femorale della coscia sinistra, recuperabile dalla seconda metà di settembre.",fanta.soccer+fantacalcio.it
Cagliari,Idrissi R.,idrissi,D,infortunato,Rottura del legamento crociato,30/10/2026,"il calciatore in ripresa dalla rottura del legamento crociato, può tornare arruolabile dalla fine di ottobre.",fanta.soccer+transfermarkt+fantacalcio.it
Cagliari,Ze Pedro,zepedro,D,infortunato,,,,fanta.soccer
Cagliari,Felici M.,felici,A,infortunato,Rottura del legamento crociato,,il centrocampista KO il 7 settembre contro il Lecce in casa vittima della rottura del legamento crociato anteriore. Verrà operato e costretto a un lungo stop (ipotizziamo un rientro da marzo).,fanta.soccer+transfermarkt+fantacalcio.it
Cagliari,M'Bala Nzola,mbalanzola,A,infortunato,,,,fanta.soccer
Cagliari,Trepy Y.,trepy,A,infortunato,Problema fisico,,"Il calciatore ricoverato il 16 agosto dopo che avrebbe rischiato di annegare in piscina. Dimesso poi il 28 agosto, ora condizioni monitorate da parte dello staff medico rossoblù. Da metà settembre ha avuto l'ok per riprendere l'attività agonistica, potrebbe ora tornare convocabile dalla prima metà di ottobre.",fanta.soccer+transfermarkt+fantacalcio.it
Fiorentina,Parisi F.,parisi,D,infortunato,,,"il cursore di fascia della Viola sta svolgendo l'iter di recupero dall'infortunio al legamento crociato al ginocchio, punta a tornare convocabile da novembre.",fanta.soccer+fantacalcio.it
Genoa,Vasquez J.,vasquez,D,squalificato,,,,fanta.soccer
Genoa,Venturino L.,venturino,C,infortunato,,,"il calciatore operato al tendine rotuleo e ora in fase di recupero. Di certo assente nel prossimo turno di campionato, ipotesi di rientro da fine ottobre.",fanta.soccer+fantacalcio.it
Genoa,Havel E.,havel,A,infortunato,,,L'attaccante ha deciso di operarsi alla caviglia e dovrebbe tornare arruolabile dalla metà di ottobre.,fanta.soccer+fantacalcio.it
Inter,Spence D.,spence,D,infortunato,,,,fanta.soccer
Inter,Stones J.,stones,D,infortunato,,,"il difensore alle prese con un risentimento ai flessori della coscia sinistra, recuperabile da inizio ottobre.",fanta.soccer+fantacalcio.it
Inter,Calhanoglu H.,calhanoglu,C,infortunato,Affaticamento muscolare,18/09/2026,"Il turco in tribuna lunedì sera contro l'Udinese per un risentimento muscolare all'adduttore della coscia destra, condizioni da valutare quotidianamente in vista del match di Roma contro i giallorossi in programma domenica.",fanta.soccer+transfermarkt+fantacalcio.it
Juventus,Kelly L.,kelly,D,squalificato,,,,fanta.soccer
Juventus,Cabal J.,cabal,D,infortunato,Problemi alla coscia,,"il difensore ai box da inizio settembre per una lesione di basso grado del muscolo semimembranoso della coscia sinistra, recuperabile dalla seconda metà di settembre.",fanta.soccer+transfermarkt+fantacalcio.it
Juventus,Cambiaso A.,cambiaso,D,infortunato,,,,fanta.soccer
Juventus,Locatelli M.,locatelli,C,infortunato,Infortunio al menisco,07/01/2027,il metronomo del centrocampo bianconero ha rimediato la rottura del menisco esterno del ginocchio. Verrà operato a Lione a stretto giro. Lungo stop e possibilità di rivederlo in campo da gennaio.,fanta.soccer+transfermarkt+fantacalcio.it
Juventus,McKennie W.,mckennie,C,infortunato,,,,fanta.soccer
