id,nome,ruolo,squadra,mv,presenze,fm,gol,assist,rig_segnati,rig_sbagliati,gol_subiti,rig_parati,ammonizioni,espulsioni,giornata,giornate_giocate,stagione,chiave
63371,Malen,A,Roma,7.38,4,12.5,6,0,0,0,0,0,1,0,5,4,2026-2027,malen
120635,Zeballos,A,Monza,7.0,1,10.0,1,0,0,0,0,0,0,0,5,4,2026-2027,zeballos
70991,Esposito,A,Sassuolo,7.0,1,10.0,1,0,0,0,0,0,0,0,5,4,2026-2027,esposito
109711,Raimondo,A,Frosinone,6.75,4,9.88,4,0,0,0,0,0,1,0,5,4,2026-2027,raimondo
63275,Thuram,A,Inter,6.83,3,9.0,2,1,0,0,0,0,0,0,5,4,2026-2027,thuram
71896,Adams,A,Torino,6.67,3,9.0,2,0,0,0,0,0,0,0,5,4,2026-2027,adams
116477,Kvernadze,A,Frosinone,6.88,4,8.75,2,1,0,0,0,0,0,0,5,4,2026-2027,kvernadze
118085,Esposito,A,Inter,6.88,4,8.75,2,1,0,0,0,0,0,0,5,4,2026-2027,esposito
111438,Soule,A,Roma,6.75,4,8.62,2,1,0,0,0,0,0,0,5,4,2026-2027,soule
118419,Diao,A,Como,6.75,4,8.62,2,1,0,0,0,0,0,0,5,4,2026-2027,diao
118290,Douvikas,A,Como,6.62,4,8.5,2,0,0,0,0,0,0,0,5,4,2026-2027,douvikas
67777,Lautaro Martinez,A,Inter,6.5,3,8.5,2,0,0,0,0,0,2,0,5,4,2026-2027,lautaromartinez
119548,Gustavo Varela,A,Monza,6.33,3,8.33,2,0,0,0,0,0,0,0,5,4,2026-2027,gustavovarela
35059,Berardi,A,Sassuolo,6.83,3,8.17,1,0,0,0,0,0,0,0,5,4,2026-2027,berardi
120541,Robinson,A,Monza,6.5,3,8.0,1,0,0,0,0,0,0,0,5,4,2026-2027,robinson
102774,Hojlund,A,Napoli,6.38,4,7.88,2,0,0,0,0,0,0,0,5,4,2026-2027,hojlund
95132,Gonzalez,A,Juventus,6.33,3,7.67,1,0,0,0,0,0,0,0,5,4,2026-2027,gonzalez
119848,Pellegrino,A,Fiorentina,6.0,4,7.62,2,0,0,0,0,0,1,0,5,4,2026-2027,pellegrino
37689,Dybala,A,Roma,7.0,4,7.5,0,4,0,0,0,0,0,0,5,4,2026-2027,dybala
111489,Bonny,A,Inter,6.33,3,7.33,1,0,0,0,0,0,0,0,5,4,2026-2027,bonny
66162,Raspadori,A,Atalanta,6.33,3,7.33,1,0,0,0,0,0,0,0,5,4,2026-2027,raspadori
96400,Goncalo Ramos,A,Milan,6.25,4,7.25,1,0,0,0,0,0,0,0,5,4,2026-2027,goncaloramos
120550,Romero,A,Parma,6.17,3,7.17,1,0,0,0,0,0,0,0,5,4,2026-2027,romero
120334,Mendy,A,Cagliari,6.38,4,7.12,1,0,0,0,0,0,0,0,5,4,2026-2027,mendy
61870,Scamacca,A,Atalanta,6.38,4,7.12,1,0,0,0,0,0,0,0,5,4,2026-2027,scamacca
118401,Gueye,A,Udinese,6.0,3,7.0,1,0,0,0,0,0,0,0,5,4,2026-2027,gueye
119040,Noslin,A,Lazio,6.0,3,7.0,1,0,0,0,0,0,0,0,5,4,2026-2027,noslin
120319,Bowie,A,Sassuolo,6.25,4,7.0,1,0,0,0,0,0,0,0,5,4,2026-2027,bowie
53582,Dovbyk,A,Bologna,6.0,3,7.0,1,0,0,0,0,0,1,0,5,4,2026-2027,dovbyk
102086,Yeboah,A,Venezia,6.12,4,6.88,1,0,0,0,0,0,0,0,5,4,2026-2027,yeboah
102766,Cancellieri,A,Lazio,6.25,4,6.88,1,0,0,0,0,0,1,0,5,4,2026-2027,cancellieri
118061,Adams,A,Venezia,6.12,4,6.88,1,0,0,0,0,0,0,0,5,4,2026-2027,adams
95769,Krstovic,A,Atalanta,6.0,4,6.88,1,0,0,0,0,0,1,0,5,4,2026-2027,krstovic
66238,Osmajic,A,Genoa,5.83,3,6.83,1,0,0,0,0,0,0,0,5,4,2026-2027,osmajic
120544,Lontani,A,Parma,5.88,4,6.75,1,0,0,0,0,0,0,0,5,4,2026-2027,lontani
111387,Beto,A,Fiorentina,6.25,2,6.5,0,1,0,0,0,0,0,0,5,4,2026-2027,beto
118054,Yildiz,A,Juventus,6.5,1,6.5,0,0,0,0,0,0,0,0,5,4,2026-2027,yildiz
120643,Sugamele,A,Cagliari,6.5,1,6.5,0,0,0,0,0,0,0,0,5,4,2026-2027,sugamele
61229,Kean,A,Como,6.33,2,6.5,0,1,0,0,0,0,0,0,5,4,2026-2027,kean
70458,Piccoli,A,Bologna,5.88,4,6.5,1,0,0,0,0,0,1,0,5,4,2026-2027,piccoli
98442,Bobcek,A,Frosinone,6.5,1,6.5,0,0,0,0,0,0,0,0,5,4,2026-2027,bobcek
46806,Boga,A,Juventus,6.33,3,6.33,0,0,0,0,0,0,0,0,5,4,2026-2027,boga
118899,Ghedjemis,A,Frosinone,6.25,2,6.25,0,0,0,0,0,0,0,0,5,4,2026-2027,ghedjemis
95435,Lauriente,A,Sassuolo,6.25,4,6.25,0,1,0,0,0,0,1,0,5,4,2026-2027,lauriente
58086,Davis,A,Udinese,6.0,3,6.17,0,2,0,0,0,0,1,0,5,4,2026-2027,davis
66187,Lang,A,Napoli,6.17,3,6.17,0,0,0,0,0,0,0,0,5,4,2026-2027,lang
116509,Fini,A,Frosinone,6.12,4,6.12,0,0,0,0,0,0,0,0,5,4,2026-2027,fini
95331,Kolo Muani,A,Juventus,6.0,4,6.12,0,1,0,0,0,0,0,0,5,4,2026-2027,kolomuani
95519,De Ketelaere,A,Atalanta,6.0,4,6.12,0,1,0,0,0,0,0,0,5,4,2026-2027,deketelaere
100862,Dany Mota,A,Monza,6.0,2,6.0,0,0,0,0,0,0,0,0,5,4,2026-2027,danymota
103090,Frigan,A,Parma,6.0,2,6.0,0,0,0,0,0,0,0,0,5,4,2026-2027,frigan
103168,Vitinha,A,Genoa,6.0,4,6.0,0,0,0,0,0,0,0,0,5,4,2026-2027,vitinha
111827,Rowe,A,Atalanta,6.0,1,6.0,0,0,0,0,0,0,0,0,5,4,2026-2027,rowe
112727,Bîrligea,A,Frosinone,6.0,2,6.0,0,0,0,0,0,0,0,0,5,4,2026-2027,birligea
114004,Albion Rrahmani,A,Venezia,6.0,3,6.0,0,0,0,0,0,0,0,0,5,4,2026-2027,albionrrahmani
118464,Forson,A,Monza,6.0,4,6.0,0,0,0,0,0,0,0,0,5,4,2026-2027,forson
51306,Cutrone,A,Monza,6.0,3,6.0,0,0,0,0,0,0,0,0,5,4,2026-2027,cutrone
95276,Geubbels,A,Lecce,6.0,2,6.0,0,0,0,0,0,0,0,0,5,4,2026-2027,geubbels
110216,Lucca,A,Napoli,5.88,4,5.88,0,0,0,0,0,0,0,0,5,4,2026-2027,lucca
95422,Toure,A,Parma,5.88,4,5.88,0,0,0,0,0,0,0,0,5,4,2026-2027,toure
97629,Stulic,A,Lecce,5.88,4,5.88,0,0,0,0,0,0,0,0,5,4,2026-2027,stulic
102693,Almqvist,A,Parma,5.83,4,5.83,0,1,0,0,0,0,1,0,5,4,2026-2027,almqvist
119063,Njie,A,Fiorentina,6.0,2,5.83,0,0,0,0,0,0,1,0,5,4,2026-2027,njie
120447,Alajbegovic,A,Juventus,5.83,3,5.83,0,0,0,0,0,0,0,0,5,4,2026-2027,alajbegovic
68893,Bayo,A,Udinese,5.83,3,5.83,0,1,0,0,0,0,1,0,5,4,2026-2027,bayo
113898,Gnonto,A,Fiorentina,5.75,2,5.75,0,0,0,0,0,0,0,0,5,4,2026-2027,gnonto
