id,nome,chiave,ruolo,squadra,modulo,allenatore,titolare,giornata_testo
61406,Thiam D.,thiam,P,Monza,5-3-1,Juric,1,venerdì 18 settembre 2026 - ore 20:45
120499,Bakoune A.,bakoune,D,Monza,5-3-1,Juric,1,venerdì 18 settembre 2026 - ore 20:45
61216,Birindelli S.,birindelli,D,Monza,5-3-1,Juric,1,venerdì 18 settembre 2026 - ore 20:45
95196,Carboni A.,carboni,D,Monza,5-3-1,Juric,1,venerdì 18 settembre 2026 - ore 20:45
119765,Kouadio E.,kouadio,D,Monza,5-3-1,Juric,1,venerdì 18 settembre 2026 - ore 20:45
118057,Lucchesi L.,lucchesi,D,Monza,5-3-1,Juric,1,venerdì 18 settembre 2026 - ore 20:45
116902,Akinsanmiro E.,akinsanmiro,C,Monza,5-3-1,Juric,1,venerdì 18 settembre 2026 - ore 20:45
66512,Colpani A.,colpani,C,Monza,5-3-1,Juric,1,venerdì 18 settembre 2026 - ore 20:45
102118,Folorunsho M.,folorunsho,C,Monza,5-3-1,Juric,1,venerdì 18 settembre 2026 - ore 20:45
119548,Gustavo Varela,gustavovarela,A,Monza,5-3-1,Juric,1,venerdì 18 settembre 2026 - ore 20:45
94916,Muric A.,muric,P,Sassuolo,2-4-3,Aquilani,1,venerdì 18 settembre 2026 - ore 20:45
114323,Doig J.,doig,D,Sassuolo,2-4-3,Aquilani,1,venerdì 18 settembre 2026 - ore 20:45
116659,Leysen F.,leysen,D,Sassuolo,2-4-3,Aquilani,1,venerdì 18 settembre 2026 - ore 20:45
117416,Adzic V.,adzic,C,Sassuolo,2-4-3,Aquilani,1,venerdì 18 settembre 2026 - ore 20:45
119493,Bakola D.,bakola,C,Sassuolo,2-4-3,Aquilani,1,venerdì 18 settembre 2026 - ore 20:45
120240,Cinquegrano S.,cinquegrano,C,Sassuolo,2-4-3,Aquilani,1,venerdì 18 settembre 2026 - ore 20:45
19997,Matic N.,matic,C,Sassuolo,2-4-3,Aquilani,1,venerdì 18 settembre 2026 - ore 20:45
35059,Berardi D.,berardi,A,Sassuolo,2-4-3,Aquilani,1,venerdì 18 settembre 2026 - ore 20:45
120319,Bowie K.,bowie,A,Sassuolo,2-4-3,Aquilani,1,venerdì 18 settembre 2026 - ore 20:45
95435,Lauriente A.,lauriente,A,Sassuolo,2-4-3,Aquilani,1,venerdì 18 settembre 2026 - ore 20:45
77144,Okoye M.,okoye,P,Udinese,5-3-1,Runjaic,1,sabato 19 settembre 2026 - ore 15:00
115130,Abankwah J.,abankwah,D,Udinese,5-3-1,Runjaic,1,sabato 19 settembre 2026 - ore 15:00
95264,Ebosse E.,ebosse,D,Udinese,5-3-1,Runjaic,1,sabato 19 settembre 2026 - ore 15:00
37476,Kabasele C.,kabasele,D,Udinese,5-3-1,Runjaic,1,sabato 19 settembre 2026 - ore 15:00
56975,Kamara H.,kamara,D,Udinese,5-3-1,Runjaic,1,sabato 19 settembre 2026 - ore 15:00
71540,Vojvoda M.,vojvoda,D,Udinese,5-3-1,Runjaic,1,sabato 19 settembre 2026 - ore 15:00
66186,Ekkelenkamp J.,ekkelenkamp,C,Udinese,5-3-1,Runjaic,1,sabato 19 settembre 2026 - ore 15:00
95556,Karlstrom J.,karlstrom,C,Udinese,5-3-1,Runjaic,1,sabato 19 settembre 2026 - ore 15:00
116835,Unai Gomez,unaigomez,C,Udinese,5-3-1,Runjaic,1,sabato 19 settembre 2026 - ore 15:00
58086,Davis K.,davis,A,Udinese,5-3-1,Runjaic,1,sabato 19 settembre 2026 - ore 15:00
69665,Caprile E.,caprile,P,Cagliari,2-6-1,Pisacane,1,sabato 19 settembre 2026 - ore 15:00
110625,Obert A.,obert,D,Cagliari,2-6-1,Pisacane,1,sabato 19 settembre 2026 - ore 15:00
119654,Rodriguez J.,rodriguez,D,Cagliari,2-6-1,Pisacane,1,sabato 19 settembre 2026 - ore 15:00
66457,Adopo M.,adopo,C,Cagliari,2-6-1,Pisacane,1,sabato 19 settembre 2026 - ore 15:00
40467,Deiola A.,deiola,C,Cagliari,2-6-1,Pisacane,1,sabato 19 settembre 2026 - ore 15:00
111870,Fazzini J.,fazzini,C,Cagliari,2-6-1,Pisacane,1,sabato 19 settembre 2026 - ore 15:00
73082,Maldini D.,maldini,C,Cagliari,2-6-1,Pisacane,1,sabato 19 settembre 2026 - ore 15:00
119818,Romano A.,romano,C,Cagliari,2-6-1,Pisacane,1,sabato 19 settembre 2026 - ore 15:00
45103,Winks H.,winks,C,Cagliari,2-6-1,Pisacane,1,sabato 19 settembre 2026 - ore 15:00
120334,Mendy P.,mendy,A,Cagliari,2-6-1,Pisacane,1,sabato 19 settembre 2026 - ore 15:00
38871,Skorupski L.,skorupski,P,Bologna,4-3-2,Tedesco,1,sabato 19 settembre 2026 - ore 15:00
105359,Heggem T.,heggem,D,Bologna,4-3-2,Tedesco,1,sabato 19 settembre 2026 - ore 15:00
98169,Holm E.,holm,D,Bologna,4-3-2,Tedesco,1,sabato 19 settembre 2026 - ore 15:00
66177,Juan Miranda,juanmiranda,D,Bologna,4-3-2,Tedesco,1,sabato 19 settembre 2026 - ore 15:00
