id,nome,partite,da_titolare,subentrato,sostituito,pct_titolare
63371,Malen,4,4,0,4,1.0
120635,Zeballos,1,0,1,0,0.0
70991,Esposito,1,1,0,1,0.25
109711,Raimondo,4,4,0,3,1.0
63275,Thuram,3,1,2,1,0.25
71896,Adams,3,2,1,1,0.5
116477,Kvernadze,4,4,0,1,1.0
118085,Esposito,4,4,0,2,1.0
111438,Soule,4,2,2,2,0.5
118419,Diao,4,3,1,3,0.75
118290,Douvikas,4,3,1,1,0.75
67777,Lautaro Martinez,3,3,0,1,0.75
119548,Gustavo Varela,3,3,0,2,0.75
35059,Berardi,3,1,2,1,0.25
120541,Robinson,3,2,1,2,0.5
102774,Hojlund,4,4,0,4,1.0
95132,Gonzalez,3,2,1,2,0.5
119848,Pellegrino,4,3,1,1,0.75
37689,Dybala,4,4,0,3,1.0
111489,Bonny,3,0,3,0,0.0
66162,Raspadori,3,2,1,2,0.5
96400,Goncalo Ramos,4,4,0,1,1.0
120550,Romero,3,1,2,1,0.25
120334,Mendy,4,4,0,4,1.0
61870,Scamacca,4,4,0,4,1.0
118401,Gueye,3,1,2,1,0.25
119040,Noslin,3,1,2,1,0.25
120319,Bowie,4,3,1,2,0.75
53582,Dovbyk,3,0,3,0,0.0
102086,Yeboah,4,3,1,2,0.75
102766,Cancellieri,4,3,1,3,0.75
118061,Adams,4,4,0,1,1.0
95769,Krstovic,4,0,4,0,0.0
66238,Osmajic,3,2,1,0,0.5
120544,Lontani,4,3,1,3,0.75
111387,Beto,2,1,1,1,0.25
118054,Yildiz,1,1,0,1,0.25
120643,Sugamele,1,0,1,0,0.0
61229,Kean,3,1,2,1,0.25
70458,Piccoli,4,4,0,3,1.0
98442,Bobcek,1,0,1,0,0.0
46806,Boga,3,1,2,1,0.25
118899,Ghedjemis,2,1,1,1,0.25
95435,Lauriente,4,4,0,0,1.0
58086,Davis,3,3,0,3,0.75
66187,Lang,3,1,2,1,0.25
116509,Fini,4,3,1,3,0.75
95331,Kolo Muani,4,4,0,0,1.0
95519,De Ketelaere,4,3,1,1,0.75
