lista,blocco,nome,soprannome,nome_completo,ruolo,squadra,eta,titolare,da_titolare,pct_titolare,presenze,gol,assist,presenze_prev,gol_prev,assist_prev,titolare_fonte,obiettivo,fascia,prezzo_indicativo,punteggio,fm,mv,rig_segnati,fm_prev,mv_prev,rig_segnati_prev,delta_fm,fm_ponderata,bonus,squadra_prev,cambiato_squadra,rigorista,piazzati,indisponibile,infortunio,rientro_data,giorni_stop,stop_lungo,rientro_nota,gs_partita_squadra,gs_partita_squadra_prev,rig_parati_prev,ammonizioni_prev,espulsioni_prev
Portieri,principale,Butez,,,P,Como,31,1,3,0.75,3,0,0,38.0,0.0,1.0,stima da presenze,,Medio,4-11,6.57,5.33,6.33,0,6.24,6.45,0.0,-0.91,6.07,0.5,Como 1907,0,0,0,,,,,,,1.0,0.76,0.0,3.0,0.0
Portieri,principale,Svilar,,,P,Roma,27,1,4,1.0,4,0,0,38.0,0.0,0.0,probabili formazioni,,Semi-top,12-24,7.06,7.12,6.62,0,6.12,6.46,0.0,1.0,6.36,0.7,Roma,0,0,0,,,,,,,0.25,0.82,0.0,0.0,0.0
Portieri,principale,Maignan,,,P,Milan,31,1,4,1.0,4,0,0,37.0,0.0,0.0,probabili formazioni,,Medio,4-11,6.35,5.5,6.25,0,5.96,6.42,0.0,-0.46,5.85,0.5,Milan,0,0,0,,,,,,,1.0,0.92,0.0,4.0,0.0
Portieri,principale,Milinkovic-Savic,,,P,Napoli,29,1,1,0.25,1,0,0,27.0,0.0,1.0,probabili formazioni,,Semi-top,12-24,7.1,7.5,6.5,0,6.28,6.41,0.0,1.22,6.4,0.7,Napoli,0,0,0,,,,,,,1.25,0.95,0.0,0.0,0.0
Portieri,principale,Carnesecchi,,,P,Atalanta,26,1,4,1.0,4,0,0,37.0,0.0,0.0,probabili formazioni,,Medio,4-11,6.59,5.75,6.75,0,5.93,6.36,0.0,-0.18,5.89,0.7,Atalanta,0,0,0,,,,,,,1.25,0.95,0.0,0.0,0.0
Difensori,principale,Yan Couto,,,D,Como,24,1,4,1.0,4,0,1,,,,stima da presenze,obiettivo mercato,Semi-top,15-29,7.2,6.5,6.38,0,,,,,6.5,0.7,,0,0,0,,,,,,,1.0,0.76,,,
Difensori,principale,Alex Valle,,,D,Como,22,1,3,0.75,3,0,1,28.0,1.0,4.0,stima da presenze,obiettivo mercato,Semi-top,15-29,7.14,6.83,6.67,0,6.31,6.19,0.0,0.52,6.44,0.7,Como 1907,0,0,0,,,,,,,1.0,0.76,0.0,3.0,0.0
Difensori,principale,Jacobo Ramon,,,D,Como,21,1,4,1.0,4,1,0,32.0,2.0,0.0,stima da presenze,obiettivo mercato,Semi-top,15-29,7.14,7.25,6.5,0,6.14,6.16,0.0,1.11,6.44,0.7,Como 1907,0,0,0,,,,,,,1.0,0.76,0.0,11.0,1.0
Difensori,principale,Chalobah,,,D,Como,27,1,3,0.75,3,0,0,,,,stima da presenze,obiettivo mercato,Medio,5-14,7.03,6.33,6.33,0,,,,,6.33,0.7,,0,0,0,,,,,,,1.0,0.76,,,
Difensori,principale,Valeri,,,D,Parma,28,1,4,1.0,4,0,0,34.0,0.0,2.0,probabili formazioni,,Medio,5-14,7.03,6.0,6.0,0,6.18,6.18,0.0,-0.18,6.13,0.9,Parma,0,2,3,,,,,,,1.5,1.21,0.0,2.0,0.0
Difensori,principale,Dimarco,,,D,Inter,29,1,3,0.75,4,0,1,35.0,7.0,16.0,probabili formazioni,,Top,30-50,8.17,6.75,6.62,0,7.72,6.9,0.0,-0.97,7.47,0.7,Inter,0,0,2,,,,,,,1.5,0.92,0.0,3.0,0.0
Difensori,principale,Bisseck,,,D,Inter,26,1,2,0.5,3,1,0,23.0,3.0,1.0,probabili formazioni,,Top,30-50,7.93,8.25,6.75,0,6.83,6.44,0.0,1.42,7.23,0.7,Inter,0,0,0,,,,,,,1.5,0.92,0.0,2.0,0.0
Difensori,principale,Bracaglia,,,D,Frosinone,23,1,4,1.0,4,1,1,,,,probabili formazioni,,Top,30-50,7.82,7.12,6.5,0,,,,,7.12,0.7,,0,0,0,,,,,,,1.0,,,,
Difensori,principale,Bremer,,,D,Juventus,29,1,4,1.0,4,1,0,26.0,4.0,3.0,probabili formazioni,,Top,30-50,7.69,7.38,6.38,0,6.81,6.31,0.0,0.57,6.99,0.7,Juventus,0,0,0,,,,,,,1.0,0.89,0.0,5.0,0.0
Difensori,principale,Abankwah,,,D,Udinese,22,1,4,1.0,4,1,0,,,,probabili formazioni,,Semi-top,15-29,7.58,6.88,6.25,0,,,,,6.88,0.7,,0,0,0,,,,,,,2.5,1.26,,,
Difensori,principale,Wesley,,,D,Roma,23,1,3,0.75,3,0,1,30.0,5.0,0.0,probabili formazioni,,Semi-top,15-29,7.52,6.83,6.67,0,6.82,6.4,0.0,0.01,6.82,0.7,Roma,0,0,0,,,,,,,0.25,0.82,0.0,6.0,1.0
Difensori,principale,Oyono,,,D,Frosinone,25,1,3,0.75,4,0,1,,,,probabili formazioni,,Semi-top,15-29,7.32,6.62,6.62,0,,,,,6.62,0.7,,0,0,0,,,,,,,1.0,,,,
Difensori,principale,Scalvini,,,D,Atalanta,23,1,4,1.0,4,0,0,24.0,3.0,1.0,probabili formazioni,,Semi-top,15-29,7.28,6.12,6.12,0,6.81,6.38,0.0,-0.69,6.58,0.7,Atalanta,0,0,0,,,,,,,1.25,0.95,0.0,2.0,0.0
Difensori,principale,Tiago Gabriel,,,D,Lecce,22,1,3,0.75,4,2,0,37.0,2.0,0.0,probabili formazioni,,Semi-top,15-29,7.24,8.12,6.62,0,6.03,6.0,0.0,2.09,6.54,0.7,Lecce,0,0,0,,,,,,,1.75,1.32,0.0,7.0,0.0
Difensori,principale,Bastoni,,,D,Inter,27,1,4,1.0,4,0,0,28.0,1.0,4.0,probabili formazioni,,Semi-top,15-29,7.18,6.38,6.38,0,6.52,6.41,0.0,-0.14,6.48,0.7,Inter,0,0,0,,,,,,,1.5,0.92,0.0,6.0,0.0
Difensori,principale,Mario Hermoso,,,D,Roma,31,1,4,1.0,4,1,0,27.0,3.0,2.0,probabili formazioni,,Semi-top,15-29,7.15,7.38,6.88,0,6.33,6.11,0.0,1.05,6.65,0.5,Roma,0,0,0,,,,,,,0.25,0.82,0.0,9.0,0.0
Difensori,principale,Mancini,,,D,Roma,30,1,4,1.0,4,0,1,36.0,4.0,2.0,probabili formazioni,,Semi-top,15-29,7.13,7.0,6.88,0,6.51,6.22,0.0,0.49,6.63,0.5,Roma,0,0,0,,,,,,,0.25,0.82,0.0,9.0,0.0
